D:\Daten\2015\10_Oktober\151019a.B\034.D
Intensity Vs Time,CPS
Time [Sec],Mg25,Al27,P31,Ca43,Sr88,Y89,Ba137,La139,Ce140,Pb208,Th232,U238
0.156,0.00,800.03,4100.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.302,0.00,700.02,3000.42,400.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.448,200.00,600.02,3000.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.594,0.00,1500.11,2800.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.740,0.00,1300.08,3400.54,100.00,0.00,0.00,100.00,0.00,0.00,0.00,100.00,0.00
0.886,0.00,1100.06,3400.54,100.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00
1.032,100.00,600.02,2900.39,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.178,0.00,1100.06,1900.17,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.324,100.00,600.02,3400.54,300.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
1.470,100.00,700.02,2400.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.616,200.00,700.02,2800.37,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.762,100.00,1500.11,3500.57,300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.908,100.00,500.01,2200.23,100.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00
2.054,0.00,500.01,2700.34,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.200,0.00,500.01,3400.54,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.346,0.00,600.02,3500.57,200.00,0.00,0.00,100.00,0.00,0.00,100.00,0.00,0.00
2.492,100.00,900.04,3800.68,0.00,0.00,0.00,0.00,0.00,300.00,0.00,0.00,0.00
2.638,100.00,1100.06,3500.57,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2.785,100.00,1600.12,4400.91,200.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2.931,0.00,600.02,3900.71,0.00,0.00,0.00,0.00,0.00,0.00,200.00,0.00,0.00
3.077,300.00,1200.07,3100.45,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.223,0.00,500.01,4500.95,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.369,0.00,500.01,3100.45,200.00,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.515,0.00,700.02,4300.87,200.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.661,100.00,900.04,3100.45,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.807,100.00,400.01,2400.27,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00
3.953,0.00,800.03,3200.48,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.099,0.00,800.03,2700.34,100.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00
4.245,0.00,1500.11,3700.64,300.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
4.391,0.00,1000.05,3300.51,200.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
4.537,100.00,1400.09,2700.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.683,0.00,500.01,3700.64,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
4.829,100.00,700.02,3300.51,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.975,0.00,1200.07,4000.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.121,0.00,500.01,4100.79,100.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00
5.267,0.00,1300.08,4400.91,200.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
5.413,0.00,500.01,4100.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.559,0.00,900.04,3700.64,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.705,0.00,600.02,3200.48,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
5.851,100.00,1200.07,3100.45,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.997,0.00,800.03,2300.25,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00
6.143,100.00,700.02,2900.39,311922.08,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00
6.289,0.00,600.02,4901.13,200.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00
6.435,0.00,800.03,2600.32,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
6.581,0.00,900.04,4200.83,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6.727,0.00,600.02,2800.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6.873,0.00,800.03,2700.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7.018,0.00,1100.06,2600.32,100.00,0.00,100.00,0.00,100.00,0.00,0.00,0.00,0.00
7.165,0.00,1200.07,3800.68,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7.311,0.00,1100.06,3500.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
