D:\Daten\2015\10_Oktober\151019a.B\050.D
Intensity Vs Time,CPS
Time [Sec],Mg25,Al27,P31,Ca43,Sr88,Y89,Ba137,La139,Ce140,Pb208,Th232,U238
0.156,0.00,800.03,3800.68,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.302,0.00,1100.06,3400.54,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.448,0.00,900.04,3500.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.594,0.00,700.02,3900.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.741,0.00,1000.05,4100.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.887,0.00,300.00,3200.48,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
1.033,0.00,1000.05,2800.37,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.179,0.00,1500.11,3100.45,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
1.325,100.00,1000.05,3700.64,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
1.471,0.00,1200.07,2800.37,100.00,100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00
1.617,0.00,900.04,2400.27,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
1.763,100.00,1400.09,2900.39,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
1.909,0.00,1100.06,3600.61,100.00,100.00,0.00,100.00,0.00,0.00,100.00,0.00,100.00
2.055,0.00,1300.08,3500.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.201,100.00,700.02,2400.27,300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.346,0.00,600.02,2400.27,200.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00
2.493,0.00,900.04,4100.79,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00
2.639,0.00,1100.06,3000.42,100.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00
2.785,0.00,600.02,2100.21,100.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00
2.931,0.00,300.00,2100.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.077,0.00,600.02,3200.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.223,0.00,900.04,3100.45,500.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.369,0.00,700.02,2200.23,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.515,0.00,800.03,4000.75,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.661,0.00,1500.11,3300.51,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
3.807,100.00,700.02,4600.99,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.953,0.00,1000.05,4200.83,200.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
4.099,100.00,800.03,3400.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.245,0.00,1400.09,4100.79,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.391,0.00,1300.08,3100.45,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.537,100.00,1400.09,3200.48,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.683,300.00,800.03,3100.45,100.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,100.00
4.829,0.00,800.03,3300.51,500.01,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00
4.975,0.00,1500.11,3700.64,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.121,0.00,1300.08,4000.75,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00
5.267,0.00,1100.06,2100.21,0.00,0.00,0.00,0.00,100.00,0.00,100.00,0.00,0.00
5.413,0.00,800.03,3700.64,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.559,100.00,600.02,2300.25,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
