D:\Daten\2015\10_Oktober\151019a.B\024.D
Intensity Vs Time,CPS
Time [Sec],Mg25,Al27,P31,Ca43,Sr88,Y89,Ba137,La139,Ce140,Pb208,Th232,U238
0.156,0.00,700.02,3700.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.302,0.00,700.02,2700.34,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.448,0.00,500.01,4400.91,400.01,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.594,0.00,700.02,3300.51,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.740,0.00,700.02,3600.61,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
0.886,100.00,500.01,3300.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.032,0.00,700.02,3500.57,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00
1.178,0.00,900.04,2900.39,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.324,0.00,1000.05,2500.29,300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.470,200.00,1200.07,2800.37,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.616,0.00,700.02,3300.51,300.00,100.00,0.00,0.00,100.00,0.00,100.00,0.00,0.00
1.762,0.00,500.01,3800.68,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
1.908,100.00,900.04,2900.39,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2.054,0.00,1100.06,3400.54,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.200,0.00,700.02,3900.71,300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.346,0.00,900.04,1600.12,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
2.493,100.00,900.04,2700.34,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2.639,100.00,1300.08,3200.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.785,0.00,500.01,2100.21,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
