D:\Daten\2015\10_Oktober\151019a.B\043.D
Intensity Vs Time,CPS
Time [Sec],Mg25,Al27,P31,Ca43,Sr88,Y89,Ba137,La139,Ce140,Pb208,Th232,U238
0.156,0.00,600.02,2600.32,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
0.302,0.00,300.00,3300.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.448,0.00,1100.06,3800.68,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
0.594,0.00,800.03,3700.64,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
0.740,0.00,1600.12,3600.61,200.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.886,100.00,700.02,3900.71,300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.032,100.00,1000.05,5001.17,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
1.178,100.00,900.04,4200.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.324,200.00,900.04,2900.39,300.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,200.00
1.470,0.00,1200.07,2500.29,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.616,0.00,700.02,3400.54,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.762,0.00,900.04,3600.61,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.908,0.00,900.04,3700.64,500.01,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00
2.054,0.00,1400.09,3700.64,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.200,100.00,800.03,2200.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.346,0.00,1600.12,3700.64,0.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,100.00
2.492,200.00,300.00,2900.39,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.638,0.00,700.02,3500.57,400.01,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2.784,0.00,900.04,3700.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.930,100.00,1200.07,3700.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
3.076,0.00,900.04,2700.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.222,0.00,800.03,3300.51,54238.39,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.369,200.00,900.04,2700.34,100.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00
3.515,300.00,800.03,2500.29,200.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
3.661,0.00,1000.05,2800.37,7502.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.807,100.00,500.01,2600.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.953,0.00,1000.05,3600.61,100.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00,0.00
4.099,0.00,600.02,3600.61,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
4.245,100.00,800.03,3500.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
