D:\Daten\2015\10_Oktober\151019a.B\030.D
Intensity Vs Time,CPS
Time [Sec],Mg25,Al27,P31,Ca43,Sr88,Y89,Ba137,La139,Ce140,Pb208,Th232,U238
0.156,0.00,800.03,2800.37,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.302,0.00,1200.07,3800.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.448,0.00,1200.07,3900.71,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.595,0.00,1200.07,3200.48,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.741,0.00,1000.05,2600.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
0.887,0.00,800.03,2300.25,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
1.033,0.00,400.01,3600.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.179,100.00,1200.07,4400.91,300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.325,0.00,900.04,3200.48,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.471,0.00,500.01,3200.48,300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.617,0.00,1200.07,3700.64,100.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
1.763,0.00,600.02,4300.87,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.909,0.00,1200.07,3700.64,100.00,0.00,0.00,0.00,0.00,0.00,200.00,0.00,0.00
2.055,0.00,800.03,3900.71,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.201,100.00,1300.08,4100.79,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.346,0.00,800.03,3700.64,100.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00
2.493,0.00,1600.12,3800.68,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.639,100.00,500.01,3100.45,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.785,100.00,1100.06,4200.83,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,100.00
2.931,0.00,600.02,4000.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.077,0.00,300.00,3800.68,0.00,100.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00
3.223,0.00,1200.07,3900.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
3.369,0.00,1100.06,3000.42,200.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
3.515,0.00,800.03,3400.54,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.661,200.00,800.03,3700.64,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
3.807,0.00,1100.06,3700.64,100.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00
3.953,100.00,900.04,3600.61,300.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
4.099,0.00,500.01,2700.34,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.245,400.01,900.04,2200.23,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00
4.391,0.00,1100.06,2900.39,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.537,0.00,1100.06,3700.64,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.683,0.00,900.04,3200.48,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.829,0.00,1100.06,4100.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.975,100.00,1000.05,2000.19,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.121,100.00,1800.15,3100.45,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
5.267,0.00,800.03,3700.64,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.413,100.00,600.02,2400.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.559,8203.15,400.01,4200.83,400.01,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
5.705,0.00,900.04,2800.37,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.851,100.00,800.03,4200.83,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.997,0.00,900.04,3200.48,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6.143,100.00,200.00,4100.79,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00
6.289,100.00,700.02,3100.45,200.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00
6.435,200.00,1100.06,3500.57,100.00,0.00,200.00,0.00,100.00,100.00,0.00,0.00,0.00
6.581,0.00,900.04,3400.54,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
6.727,0.00,800.03,3400.54,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
6.874,100.00,700.02,3500.57,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7.020,0.00,900.04,3700.64,0.00,0.00,0.00,100.00,200.00,0.00,0.00,0.00,0.00
7.166,0.00,1300.08,4901.13,200.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
7.312,0.00,600.02,3600.61,0.00,0.00,0.00,0.00,100.00,100.00,0.00,0.00,0.00
7.458,100.00,800.03,3800.68,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
7.604,0.00,100.00,3200.48,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7.750,100.00,800.03,3200.48,300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7.896,200.00,1300.08,3800.68,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
8.042,0.00,1300.08,2600.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8.188,0.00,800.03,3700.64,100.00,0.00,0.00,0.00,100.00,0.00,100.00,0.00,100.00
8.334,300.00,600.02,2700.34,0.00,0.00,0.00,0.00,0.00,0.00,200.00,0.00,0.00
8.480,0.00,700.02,3500.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8.626,0.00,700.02,3000.42,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8.772,100.00,600.02,3300.51,0.00,0.00,0.00,0.00,0.00,0.00,200.00,0.00,0.00
8.918,0.00,600.02,4801.08,200.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
9.064,0.00,1300.08,3600.61,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9.210,0.00,900.04,3100.45,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
9.356,0.00,500.01,3700.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9.502,300.00,1000.05,3000.42,200.00,0.00,100.00,0.00,0.00,0.00,100.00,0.00,0.00
9.648,100.00,1000.05,3900.71,300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9.794,0.00,1200.07,3900.71,200.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
9.940,0.00,400.01,3200.48,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10.086,100.00,1300.08,3200.48,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10.232,0.00,1200.07,3600.61,1500.11,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
10.378,200.00,700.02,4000.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
