D:\Daten\2015\10_Oktober\151019a.B\054.D
Intensity Vs Time,CPS
Time [Sec],Mg25,Al27,P31,Ca43,Sr88,Y89,Ba137,La139,Ce140,Pb208,Th232,U238
0.156,100.00,600.02,4200.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.302,0.00,1200.07,2900.39,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00
0.448,0.00,200.00,3500.57,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00
0.594,100.00,1000.05,3100.45,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.740,100.00,500.01,3500.57,300.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,100.00
0.886,0.00,1000.05,3700.64,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.032,100.00,700.02,3900.71,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.178,200.00,900.04,2600.32,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
1.324,0.00,1500.11,3400.54,300.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00
1.470,100.00,500.01,2600.32,300.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
1.616,100.00,800.03,4100.79,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
1.762,0.00,900.04,2700.34,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
1.908,0.00,1000.05,3900.71,300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.054,100.00,1200.07,3900.71,300.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2.200,0.00,1200.07,3000.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.346,0.00,1000.05,3200.48,200.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00
2.492,100.00,1100.06,4000.75,200.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2.638,0.00,400.01,2500.29,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.785,0.00,700.02,5001.17,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.931,0.00,600.02,2000.19,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00
3.077,100.00,900.04,3500.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.223,0.00,700.02,2900.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.369,0.00,500.01,4200.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.515,0.00,900.04,2700.34,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00
3.661,0.00,600.02,3700.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.807,0.00,700.02,3300.51,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.953,0.00,1000.05,2600.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.099,0.00,1000.05,3500.57,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
4.245,200.00,900.04,4200.83,0.00,0.00,0.00,200.00,100.00,0.00,0.00,0.00,0.00
4.391,0.00,1000.05,4701.04,400.01,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
4.537,0.00,700.02,2700.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.683,0.00,900.04,2600.32,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
4.829,0.00,1000.05,2300.25,0.00,0.00,0.00,0.00,100.00,0.00,100.00,0.00,0.00
4.975,0.00,600.02,2900.39,200.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
5.121,0.00,900.04,2400.27,300.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.267,100.00,1600.12,3700.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.413,0.00,1400.09,2800.37,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
5.559,0.00,1100.06,3500.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
5.705,100.00,1100.06,3400.54,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.851,0.00,600.02,3700.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.997,200.00,400.01,3300.51,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6.143,0.00,1100.06,2900.39,200.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,100.00
6.289,0.00,800.03,3500.57,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
6.435,0.00,500.01,3200.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6.581,0.00,700.02,3600.61,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
6.727,0.00,900.04,3700.64,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
6.873,0.00,1100.06,2900.39,200.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00
7.018,0.00,1100.06,2800.37,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7.165,0.00,700.02,2700.34,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7.311,0.00,1000.05,3800.68,0.00,0.00,0.00,100.00,100.00,0.00,0.00,0.00,200.00
7.457,200.00,1400.09,3200.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7.603,0.00,800.03,2500.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7.749,0.00,800.03,4400.91,400.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7.895,0.00,300.00,3800.68,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,100.00
8.041,0.00,600.02,3400.54,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
8.187,0.00,600.02,2300.25,0.00,0.00,0.00,0.00,100.00,0.00,100.00,0.00,0.00
8.333,0.00,1400.09,3000.42,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8.479,100.00,1300.08,3100.45,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8.625,0.00,700.02,3500.57,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
8.771,100.00,1400.09,3300.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8.918,0.00,1100.06,3200.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9.064,100.00,800.03,3000.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9.210,200.00,800.03,3900.71,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
9.356,0.00,1100.06,4100.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9.502,0.00,1100.06,3600.61,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
9.648,0.00,800.03,2900.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9.794,0.00,800.03,3000.42,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9.940,0.00,500.01,3500.57,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10.086,0.00,600.02,2600.32,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10.232,0.00,1000.05,3100.45,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10.378,100.00,400.01,4000.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10.524,100.00,1700.14,3700.64,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10.670,0.00,900.04,3800.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10.816,0.00,700.02,3800.68,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,200.00
10.962,100.00,700.02,3100.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11.108,0.00,700.02,3600.61,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11.254,0.00,1400.09,2500.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11.400,0.00,1300.08,2500.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11.546,0.00,700.02,2400.27,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
11.692,0.00,600.02,2800.37,300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11.838,100.00,800.03,3300.51,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
11.984,0.00,900.04,3800.68,200.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00
12.130,0.00,1000.05,2500.29,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12.276,0.00,800.03,3400.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12.422,0.00,1300.08,3100.45,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12.568,0.00,1000.05,2900.39,200.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
12.714,100.00,900.04,3200.48,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
12.860,200.00,1000.05,3300.51,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13.006,100.00,1000.05,3500.57,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00
13.152,0.00,600.02,3400.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13.298,0.00,900.04,3200.48,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
13.444,100.00,900.04,3000.42,300.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00
13.590,200.00,900.04,4100.79,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13.736,100.00,1500.11,4000.75,100.00,0.00,0.00,0.00,0.00,0.00,200.00,0.00,0.00
13.882,0.00,1300.08,2500.29,300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14.028,200.00,300.00,3900.71,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14.174,0.00,400.01,1800.15,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14.320,0.00,700.02,3400.54,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,100.00
14.466,0.00,600.02,3000.42,100.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00
14.612,100.00,1000.05,2900.39,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14.758,100.00,300.00,3000.42,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
14.904,100.00,1000.05,3200.48,0.00,100.00,0.00,0.00,100.00,0.00,0.00,0.00,100.00
15.050,0.00,1200.07,3400.54,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15.197,0.00,1200.07,3200.48,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15.343,100.00,900.04,2900.39,300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15.489,0.00,1200.07,3400.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15.635,100.00,500.01,3100.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15.781,0.00,1300.08,3800.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
15.927,100.00,1200.07,2900.39,100.00,0.00,100.00,0.00,0.00,0.00,200.00,0.00,0.00
16.073,100.00,600.02,3000.42,200.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00
16.219,0.00,900.04,2600.32,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
