D:\Daten\2015\10_Oktober\151019a.B\055.D
Intensity Vs Time,CPS
Time [Sec],Mg25,Al27,P31,Ca43,Sr88,Y89,Ba137,La139,Ce140,Pb208,Th232,U238
0.156,0.00,1200.07,2800.37,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.302,0.00,300.00,1800.15,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
0.448,0.00,1100.06,2800.37,300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.594,0.00,1100.06,3200.48,100.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00
0.740,0.00,1500.11,3400.54,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.886,0.00,900.04,3300.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.032,200.00,1400.09,3900.71,500.01,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
1.178,0.00,900.04,3400.54,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
1.324,0.00,1300.08,3000.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.470,100.00,800.03,3000.42,200.00,0.00,0.00,0.00,0.00,0.00,200.00,100.00,0.00
1.616,0.00,900.04,3200.48,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00
1.762,0.00,1200.07,3800.68,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.908,0.00,400.01,3300.51,500.01,0.00,0.00,100.00,0.00,100.00,100.00,0.00,0.00
2.054,100.00,700.02,3500.57,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.200,0.00,400.01,3700.64,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,100.00
2.346,100.00,1300.08,3200.48,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2.492,0.00,200.00,3300.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.638,0.00,600.02,2700.34,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00
2.784,100.00,1400.09,3000.42,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2.930,0.00,900.04,2900.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.076,0.00,1000.05,3000.42,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.222,100.00,300.00,3300.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.368,0.00,900.04,3500.57,100.00,0.00,0.00,0.00,0.00,200.00,0.00,0.00,0.00
3.514,0.00,1200.07,2900.39,200.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
3.660,0.00,1200.07,4300.87,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
3.806,200.00,900.04,4400.91,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
3.952,100.00,1900.17,3300.51,100.00,0.00,0.00,0.00,100.00,0.00,100.00,0.00,0.00
4.099,200.00,900.04,3300.51,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
4.245,0.00,900.04,3200.48,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.391,100.00,800.03,3300.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.537,0.00,1200.07,2900.39,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.683,100.00,900.04,4200.83,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.829,0.00,500.01,3400.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.975,0.00,600.02,2400.27,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.121,0.00,1300.08,2900.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.267,0.00,600.02,3300.51,300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.413,0.00,800.03,4000.75,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00
5.559,100.00,1100.06,3700.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
5.705,0.00,400.01,3700.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.851,100.00,1100.06,3300.51,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.997,100.00,1500.11,2900.39,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6.143,200.00,1700.14,3000.42,200.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00
6.289,0.00,500.01,4100.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6.435,0.00,900.04,2900.39,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6.581,0.00,1000.05,3800.68,100.00,0.00,0.00,0.00,100.00,0.00,100.00,0.00,0.00
6.727,0.00,1200.07,3500.57,300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6.873,0.00,700.02,2900.39,100.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00
7.018,0.00,300.00,3700.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7.165,100.00,1200.07,4000.75,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00
7.311,0.00,1000.05,2800.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7.457,100.00,600.02,3400.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7.603,200.00,1500.11,2100.21,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7.749,100.00,1300.08,3900.71,300.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
7.895,0.00,1300.08,2800.37,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
8.041,0.00,700.02,3200.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8.187,100.00,1300.08,3900.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8.333,100.00,500.01,3400.54,0.00,0.00,0.00,0.00,0.00,0.00,200.00,0.00,0.00
8.479,0.00,800.03,2400.27,400.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8.625,100.00,500.01,3700.64,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8.771,0.00,800.03,3800.68,300.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
8.917,0.00,1200.07,3600.61,0.00,0.00,0.00,0.00,0.00,0.00,200.00,0.00,0.00
9.063,0.00,1400.09,3000.42,400.01,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
9.209,0.00,600.02,4000.75,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,100.00
9.355,0.00,800.03,3400.54,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9.501,0.00,1100.06,3200.48,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9.647,100.00,1900.17,3600.61,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9.793,0.00,1600.12,3400.54,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9.939,0.00,900.04,3300.51,300.00,0.00,0.00,0.00,0.00,0.00,200.00,0.00,0.00
10.085,100.00,1100.06,2500.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10.232,0.00,800.03,3500.57,100.00,0.00,0.00,0.00,0.00,0.00,200.00,0.00,0.00
10.378,0.00,1300.08,2500.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10.524,0.00,1400.09,2500.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10.670,100.00,800.03,3000.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
