D:\Daten\2015\10_Oktober\151019a.B\042.D
Intensity Vs Time,CPS
Time [Sec],Mg25,Al27,P31,Ca43,Sr88,Y89,Ba137,La139,Ce140,Pb208,Th232,U238
0.156,0.00,900.04,4300.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.302,100.00,800.03,5201.27,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.448,0.00,600.02,3800.68,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
0.594,0.00,700.02,3900.71,300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.740,0.00,1200.07,3600.61,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
0.886,0.00,700.02,3000.42,200.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
1.032,0.00,600.02,2900.39,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.178,0.00,1100.06,3300.51,300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.324,100.00,900.04,3700.64,0.00,100.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
1.470,0.00,800.03,4000.75,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.616,0.00,600.02,4100.79,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00
1.763,0.00,800.03,3400.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.909,0.00,900.04,4100.79,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.055,200.00,900.04,2700.34,0.00,0.00,0.00,0.00,0.00,0.00,200.00,0.00,0.00
2.201,0.00,200.00,2600.32,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.346,0.00,600.02,3900.71,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2.493,100.00,1600.12,3600.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.639,0.00,1000.05,3300.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.785,0.00,1100.06,3800.68,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2.931,0.00,1700.14,3400.54,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
3.077,0.00,600.02,3100.45,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
3.223,0.00,1300.08,2800.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.369,0.00,1000.05,2400.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.515,0.00,700.02,3100.45,300.00,0.00,0.00,0.00,0.00,0.00,0.00,200.00,0.00
3.661,0.00,1000.05,3000.42,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00
3.807,0.00,600.02,3900.71,500.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.953,0.00,900.04,3700.64,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.099,100.00,800.03,2900.39,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,200.00
4.245,0.00,1000.05,2900.39,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.391,0.00,1400.09,3000.42,0.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00
4.537,0.00,1400.09,3800.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.683,0.00,2000.19,2800.37,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
4.829,0.00,1000.05,4500.95,100.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00
4.975,100.00,1000.05,2800.37,200.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00
5.121,200.00,1200.07,3000.42,0.00,0.00,0.00,0.00,0.00,0.00,200.00,0.00,0.00
5.267,100.00,1000.05,3000.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.413,100.00,500.01,4200.83,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.559,0.00,1200.07,3600.61,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.705,0.00,600.02,2800.37,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
5.851,0.00,700.02,3500.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
5.997,0.00,900.04,2400.27,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6.143,0.00,1100.06,3100.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6.289,100.00,1000.05,4400.91,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6.435,0.00,1000.05,5001.17,0.00,100.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00
