D:\Daten\2015\10_Oktober\151019a.B\039.D
Intensity Vs Time,CPS
Time [Sec],Mg25,Al27,P31,Ca43,Sr88,Y89,Ba137,La139,Ce140,Pb208,Th232,U238
0.157,0.00,1200.07,3700.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
0.303,0.00,1400.09,3700.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.449,0.00,1000.05,4400.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.595,0.00,400.01,3300.51,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.741,0.00,700.02,3700.64,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
0.887,0.00,700.02,3000.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.033,0.00,600.02,3800.68,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00
1.179,0.00,1100.06,3300.51,300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
1.325,100.00,700.02,5001.17,0.00,0.00,0.00,0.00,0.00,46305.69,0.00,0.00,0.00
1.471,0.00,600.02,2900.39,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.617,0.00,1200.07,3700.64,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.763,0.00,1200.07,4801.08,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.909,0.00,600.02,4600.99,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
2.055,0.00,600.02,3300.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.201,0.00,700.02,4500.95,0.00,0.00,200.00,100.00,0.00,100.00,100.00,0.00,0.00
2.346,0.00,900.04,3600.61,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
2.493,500.01,800.03,3900.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.639,0.00,700.02,4200.83,300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.785,0.00,1000.05,3600.61,200.00,3442167.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.931,0.00,900.04,3200.48,0.00,4559.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.077,0.00,800.03,5401.37,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
3.223,0.00,700.02,4000.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.369,0.00,900.04,2500.29,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.515,100.00,1100.06,4200.83,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
3.661,0.00,500.01,3400.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.807,0.00,1400.09,3100.45,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
3.953,0.00,200.00,3200.48,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00
4.099,0.00,600.02,3800.68,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.245,0.00,1200.07,2800.37,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.391,0.00,600.02,3700.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.537,0.00,1300.08,3400.54,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.683,200.00,900.04,2200.23,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
4.829,0.00,900.04,2500.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.975,0.00,1100.06,3100.45,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.121,0.00,1400.09,3100.45,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.267,0.00,1100.06,3500.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.413,100.00,600.02,2200.23,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
5.559,0.00,500.01,3300.51,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
5.705,0.00,1100.06,3600.61,300.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,0.00
5.851,200.00,800.03,4701.04,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
5.997,0.00,500.01,4200.83,300.00,0.00,0.00,100.00,0.00,0.00,100.00,0.00,0.00
6.143,100.00,1300.08,4300.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6.289,100.00,1300.08,3200.48,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6.436,0.00,500.01,2700.34,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6.582,0.00,1100.06,3500.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6.728,0.00,1700.14,3300.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6.874,100.00,600.02,3900.71,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7.020,0.00,700.02,3600.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
7.166,0.00,1000.05,3000.42,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00
7.312,0.00,1600.12,3100.45,200.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
7.458,0.00,500.01,3800.68,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7.604,0.00,1100.06,1700.14,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7.750,0.00,1000.05,3400.54,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
7.896,300.00,600.02,3100.45,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
