D:\Daten\2015\10_Oktober\151019a.B\057.D
Intensity Vs Time,CPS
Time [Sec],Mg25,Al27,P31,Ca43,Sr88,Y89,Ba137,La139,Ce140,Pb208,Th232,U238
0.156,100.00,1400.09,3800.68,300.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00
0.302,100.00,800.03,3100.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.448,0.00,1100.06,2500.29,600.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.594,100.00,1600.12,2900.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.740,0.00,1300.08,2800.37,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.886,0.00,500.01,2700.34,500.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.032,0.00,1500.11,3600.61,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
1.178,200.00,1100.06,4500.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.324,0.00,900.04,3800.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.470,100.00,1700.14,2200.23,100.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00
1.616,0.00,1000.05,3500.57,100.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00
1.762,0.00,900.04,4100.79,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
1.908,0.00,600.02,3000.42,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2.054,0.00,1200.07,2800.37,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.200,100.00,1200.07,3100.45,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.346,300.00,1000.05,2600.32,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2.493,0.00,800.03,3900.71,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00
2.639,200.00,1300.08,3000.42,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.785,0.00,800.03,4000.75,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
2.931,0.00,800.03,3600.61,200.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
3.077,0.00,1100.06,3600.61,100.00,300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.223,0.00,1600.12,2200.23,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.369,100.00,700.02,2600.32,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.515,0.00,1000.05,3000.42,200.00,0.00,200.00,0.00,0.00,100.00,0.00,0.00,0.00
3.661,0.00,800.03,3300.51,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.807,0.00,2100.21,3100.45,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.953,100.00,1200.07,4100.79,200.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
4.099,100.00,400.01,2800.37,100.00,0.00,0.00,0.00,100.00,0.00,200.00,0.00,0.00
4.245,100.00,1000.05,3700.64,100.00,0.00,0.00,0.00,0.00,0.00,0.00,200.00,0.00
4.391,100.00,700.02,3200.48,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.537,0.00,800.03,3600.61,200.00,0.00,0.00,0.00,100.00,0.00,100.00,0.00,0.00
4.683,0.00,1000.05,2300.25,100.00,0.00,100.00,0.00,0.00,0.00,200.00,0.00,0.00
4.829,0.00,1200.07,4500.95,100.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00
4.975,100.00,1500.11,4300.87,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.121,100.00,900.04,2500.29,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.267,0.00,900.04,3800.68,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
5.413,100.00,900.04,2800.37,100.00,0.00,0.00,0.00,0.00,0.00,200.00,0.00,0.00
5.559,200.00,600.02,3100.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.705,0.00,800.03,3100.45,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.851,100.00,900.04,3200.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.997,100.00,800.03,4000.75,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6.143,0.00,600.02,3600.61,300.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00,0.00
6.289,0.00,1200.07,3100.45,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
