D:\Daten\2015\10_Oktober\151019a.B\022.D
Intensity Vs Time,CPS
Time [Sec],Mg25,Al27,P31,Ca43,Sr88,Y89,Ba137,La139,Ce140,Pb208,Th232,U238
0.156,0.00,800.03,3400.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.302,0.00,800.03,3100.45,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.448,0.00,1000.05,3400.54,200.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
0.594,0.00,900.04,3300.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.740,100.00,800.03,2600.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.886,100.00,300.00,3800.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.032,0.00,1000.05,3500.57,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
1.178,0.00,1300.08,3200.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.324,0.00,600.02,2400.27,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
1.470,0.00,400.01,3100.45,200.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
1.616,0.00,1200.07,3300.51,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00
1.762,0.00,500.01,3700.64,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.908,0.00,500.01,4100.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.054,0.00,1000.05,2700.34,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.200,0.00,1100.06,4100.79,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2.346,0.00,1500.11,3300.51,0.00,0.00,0.00,0.00,0.00,0.00,200.00,0.00,0.00
2.492,0.00,400.01,3000.42,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2.638,100.00,1200.07,3500.57,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.785,0.00,700.02,3000.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.931,0.00,1200.07,3500.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.077,100.00,800.03,3400.54,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.223,0.00,700.02,3200.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.369,0.00,700.02,4000.75,300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.515,0.00,700.02,1900.17,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00,0.00
3.661,0.00,500.01,3700.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.807,0.00,1000.05,3300.51,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00
3.953,0.00,1400.09,2700.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.099,0.00,900.04,3500.57,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
4.245,0.00,600.02,3800.68,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.391,0.00,700.02,3700.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.537,200.00,1000.05,2900.39,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.683,100.00,200.00,3700.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.829,100.00,600.02,2500.29,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
4.975,100.00,800.03,3000.42,100.00,0.00,0.00,0.00,100.00,0.00,100.00,0.00,0.00
5.121,0.00,700.02,2300.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.267,0.00,900.04,3200.48,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.413,100.00,1400.09,3400.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.559,0.00,600.02,3500.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.705,100.00,600.02,2600.32,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00
5.851,100.00,600.02,2900.39,200.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.997,0.00,900.04,3200.48,200.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
6.143,100.00,1000.05,3900.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6.289,0.00,900.04,4300.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6.435,0.00,1000.05,3200.48,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6.581,0.00,900.04,4100.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6.727,0.00,700.02,3300.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6.873,0.00,1100.06,3500.57,500.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7.018,0.00,500.01,3100.45,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
7.165,0.00,800.03,2300.25,300.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00
7.311,0.00,700.02,2100.21,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
7.457,0.00,600.02,3000.42,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7.603,0.00,1200.07,2000.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7.749,100.00,900.04,4100.79,300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7.895,0.00,800.03,2900.39,0.00,0.00,100.00,0.00,0.00,0.00,100.00,0.00,0.00
8.041,0.00,400.01,3300.51,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8.187,100.00,500.01,4100.79,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8.333,200.00,900.04,3700.64,0.00,200.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
8.479,0.00,1200.07,3800.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8.625,100.00,1100.06,4200.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8.771,0.00,900.04,2600.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8.917,0.00,800.03,4200.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9.064,0.00,1200.07,3000.42,200.00,0.00,100.00,0.00,0.00,0.00,200.00,0.00,0.00
9.210,200.00,1200.07,2900.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9.356,100.00,700.02,4100.79,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
9.502,100.00,900.04,2900.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9.648,100.00,1000.05,3000.42,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9.794,0.00,1100.06,4200.83,300.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00
