D:\Daten\2015\10_Oktober\151019a.B\048.D
Intensity Vs Time,CPS
Time [Sec],Mg25,Al27,P31,Ca43,Sr88,Y89,Ba137,La139,Ce140,Pb208,Th232,U238
0.156,0.00,1800.15,4000.75,300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.302,0.00,1600.12,2900.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
0.448,0.00,600.02,3900.71,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.594,0.00,600.02,3900.71,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.740,0.00,1000.05,3400.54,300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.886,0.00,1200.07,3800.68,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
1.032,0.00,1000.05,3100.45,300.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
1.178,0.00,1300.08,3100.45,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
1.324,0.00,900.04,3200.48,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,100.00
1.470,0.00,1200.07,3700.64,0.00,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.616,0.00,400.01,3000.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.762,0.00,800.03,3200.48,200.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00
1.909,0.00,300.00,2300.25,200.00,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.055,100.00,1300.08,3000.42,100.00,0.00,0.00,100.00,0.00,0.00,100.00,0.00,0.00
2.201,0.00,1300.08,3200.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.346,0.00,800.03,2600.32,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
2.493,100.00,500.01,2900.39,0.00,0.00,0.00,0.00,100.00,0.00,100.00,0.00,0.00
2.639,0.00,1200.07,2800.37,0.00,0.00,100.00,0.00,0.00,100.00,0.00,0.00,0.00
2.785,100.00,1200.07,3100.45,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.931,0.00,1300.08,4200.83,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
3.077,100.00,700.02,2900.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.223,0.00,900.04,3700.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.369,0.00,500.01,2900.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
3.515,0.00,1300.08,2300.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.661,0.00,700.02,3000.42,300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.807,0.00,1200.07,2900.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.953,100.00,700.02,2600.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.099,0.00,400.01,4600.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
