D:\Daten\2015\10_Oktober\151019a.B\056.D
Intensity Vs Time,CPS
Time [Sec],Mg25,Al27,P31,Ca43,Sr88,Y89,Ba137,La139,Ce140,Pb208,Th232,U238
0.156,0.00,800.03,2900.39,200.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
0.302,0.00,700.02,3000.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.448,0.00,1100.06,3800.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.594,0.00,1000.05,3800.68,300.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00
0.740,0.00,1100.06,3400.54,100.00,100.00,200.00,0.00,0.00,0.00,0.00,0.00,100.00
0.886,100.00,700.02,3100.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.032,0.00,700.02,3500.57,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.178,100.00,900.04,3800.68,100.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00
1.324,100.00,600.02,4000.75,300.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,200.00
1.470,0.00,800.03,3600.61,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
1.616,100.00,1200.07,3500.57,200.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.762,0.00,800.03,3000.42,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.908,0.00,400.01,3100.45,200.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.054,0.00,1000.05,3600.61,200.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
2.200,0.00,500.01,3500.57,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.346,0.00,1100.06,3400.54,0.00,0.00,100.00,0.00,0.00,0.00,100.00,0.00,0.00
2.492,0.00,900.04,2700.34,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.638,0.00,1200.07,3000.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.784,0.00,800.03,2700.34,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
2.930,100.00,1100.06,2300.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.076,0.00,900.04,4801.08,200.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00
3.222,0.00,1200.07,3900.71,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.368,0.00,900.04,3400.54,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
3.514,0.00,1000.05,2700.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.660,0.00,1200.07,3000.42,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.806,0.00,1200.07,4701.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.952,0.00,1000.05,3100.45,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
