D:\Daten\2015\10_Oktober\151019a.B\044.D
Intensity Vs Time,CPS
Time [Sec],Mg25,Al27,P31,Ca43,Sr88,Y89,Ba137,La139,Ce140,Pb208,Th232,U238
0.156,0.00,1200.07,2800.37,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.302,0.00,1000.05,2500.29,0.00,0.00,0.00,0.00,0.00,100.00,200.00,0.00,0.00
0.448,0.00,1300.08,3100.45,300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,200.00
0.594,0.00,1000.05,2300.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.740,0.00,900.04,3100.45,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.886,0.00,500.01,3800.68,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.032,0.00,500.01,3400.54,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.178,0.00,600.02,4000.75,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.324,0.00,100.00,3800.68,300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.470,0.00,600.02,2900.39,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00
1.616,0.00,1100.06,3900.71,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.762,0.00,1500.11,3800.68,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
1.908,0.00,1900.17,2800.37,400.01,0.00,0.00,0.00,0.00,200.00,0.00,0.00,0.00
2.054,0.00,1300.08,4300.87,100.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00
2.200,100.00,600.02,2900.39,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.346,100.00,1100.06,3800.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.492,0.00,1600.12,4500.95,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.638,0.00,500.01,2900.39,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.784,100.00,1000.05,2700.34,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.930,0.00,1100.06,3500.57,0.00,0.00,100.00,0.00,0.00,0.00,100.00,0.00,0.00
3.076,0.00,600.02,3500.57,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.222,100.00,1000.05,3600.61,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
3.368,0.00,1000.05,3800.68,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
3.514,0.00,600.02,3100.45,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
