D:\Daten\2015\10_Oktober\151019a.B\003.D
Intensity Vs Time,CPS
Time [Sec],Mg25,Al27,P31,Ca43,Sr88,Y89,Ba137,La139,Ce140,Pb208,Th232,U238
0.156,0.00,800.03,2100.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.302,0.00,700.02,2600.32,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.448,0.00,1300.08,2600.32,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.594,0.00,1100.06,3100.45,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.740,0.00,700.02,2900.39,200.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
0.886,0.00,800.03,3700.64,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.032,0.00,1300.08,2900.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.178,100.00,600.02,2400.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.324,0.00,700.02,3100.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.470,0.00,500.01,2000.19,100.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00
1.616,0.00,1100.06,2700.34,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
1.762,100.00,1200.07,2600.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.908,0.00,500.01,3100.45,300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.054,100.00,1300.08,2700.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.200,0.00,800.03,3100.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.346,0.00,1300.08,2400.27,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.492,0.00,1000.05,3500.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.638,100.00,1000.05,2200.23,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.784,0.00,400.01,3600.61,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.930,0.00,1100.06,4200.83,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
