D:\Daten\2015\10_Oktober\151019a.B\002.D
Intensity Vs Time,CPS
Time [Sec],Mg25,Al27,P31,Ca43,Sr88,Y89,Ba137,La139,Ce140,Pb208,Th232,U238
0.156,0.00,1400.09,3000.42,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
0.302,0.00,300.00,3400.54,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00
0.448,100.00,500.01,2900.39,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.594,0.00,800.03,2600.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.740,0.00,500.01,1900.17,300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.886,100.00,200.00,3300.51,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.032,0.00,500.01,3000.42,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.178,100.00,900.04,1900.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.324,0.00,1200.07,3300.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.470,0.00,600.02,2900.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.616,0.00,1000.05,3200.48,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.762,0.00,500.01,3500.57,200.00,0.00,0.00,0.00,0.00,200.00,100.00,100.00,0.00
1.908,0.00,300.00,2800.37,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.055,100.00,900.04,3100.45,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2.201,400.01,700.02,2400.27,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
2.346,0.00,400.01,4200.83,300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.493,100.00,1500.11,2800.37,0.00,0.00,0.00,0.00,100.00,0.00,100.00,0.00,0.00
2.639,0.00,700.02,2300.25,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2.785,0.00,400.01,2600.32,300.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00
2.931,0.00,1400.09,3100.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.077,0.00,1400.09,4000.75,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
3.223,100.00,500.01,3000.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.369,0.00,700.02,1900.17,100.00,0.00,0.00,1900.18,0.00,0.00,0.00,0.00,0.00
