D:\Daten\2015\10_Oktober\151019b.B\001.D
Intensity Vs Time,CPS
Time [Sec],Mg25,Al27,P31,Ca43,Sr88,Y89,Ba137,La139,Ce140,Pb208,Th232,U238
0.156,0.00,1300.08,2900.39,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
0.302,0.00,800.03,2700.34,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.448,0.00,1100.06,2500.29,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.594,100.00,1000.05,2300.25,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.740,100.00,1300.08,3000.42,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
0.886,300.00,900.04,2900.39,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.032,0.00,200.00,3600.61,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.178,100.00,1800.15,3100.45,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00
1.324,0.00,1000.05,3700.64,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00
1.470,0.00,900.04,2800.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.616,0.00,1100.06,3400.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.762,0.00,700.02,3400.54,300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.908,100.00,800.03,3000.42,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.054,0.00,1000.05,3100.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.200,0.00,900.04,2300.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.346,0.00,600.02,3000.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
2.493,0.00,400.01,3100.45,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.639,0.00,2000.19,3900.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.785,0.00,400.01,2900.39,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.931,0.00,700.02,3700.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.077,0.00,600.02,3300.51,300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.223,0.00,1100.06,2200.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.369,0.00,1100.06,3200.48,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.515,0.00,1400.09,3000.42,100.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00
3.661,100.00,1000.05,3300.51,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
3.807,0.00,500.01,2100.21,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.953,100.00,700.02,2600.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.099,0.00,1200.07,1600.12,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.245,0.00,900.04,2500.29,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.391,0.00,1300.08,3000.42,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.537,0.00,800.03,2700.34,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.683,100.00,1200.07,4100.79,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
4.829,0.00,1600.12,2900.39,400.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.975,0.00,1300.08,3000.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.121,0.00,1200.07,3500.57,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.267,0.00,900.04,2900.39,200.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
5.413,0.00,1300.08,2800.37,0.00,0.00,0.00,0.00,100.00,0.00,100.00,0.00,100.00
5.559,0.00,800.03,3400.54,0.00,0.00,0.00,0.00,100.00,0.00,100.00,0.00,0.00
5.705,0.00,600.02,3300.51,100.00,0.00,0.00,0.00,0.00,0.00,200.00,0.00,0.00
5.851,0.00,600.02,3800.68,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.997,0.00,800.03,3300.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6.143,0.00,700.02,3700.64,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6.289,0.00,1100.06,2200.23,200.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
6.435,0.00,700.02,3400.54,200.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
6.581,0.00,400.01,1800.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6.727,0.00,700.02,1900.17,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6.873,0.00,800.03,2800.37,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7.018,0.00,600.02,2700.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7.165,0.00,400.01,2800.37,0.00,0.00,0.00,0.00,0.00,0.00,200.00,0.00,0.00
7.311,0.00,400.01,3800.68,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7.457,100.00,800.03,2100.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7.603,0.00,1100.06,2400.27,100.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00
7.749,0.00,1100.06,2300.25,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00
7.895,0.00,1200.07,3500.57,0.00,0.00,0.00,0.00,0.00,0.00,200.00,0.00,0.00
8.041,0.00,1300.08,3200.48,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8.187,0.00,600.02,1900.17,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8.333,0.00,1600.12,3400.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8.479,0.00,800.03,3000.42,100.00,0.00,0.00,100.00,0.00,0.00,0.00,100.00,0.00
8.625,0.00,700.02,3700.64,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
8.772,0.00,700.02,2200.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8.918,0.00,600.02,4200.83,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
9.064,0.00,1500.11,3200.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9.210,0.00,1100.06,2200.23,300.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00
9.356,0.00,900.04,3000.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
9.502,200.00,700.02,3700.64,300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
9.648,0.00,700.02,2600.32,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9.794,0.00,1200.07,2800.37,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9.940,0.00,600.02,2300.25,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
10.086,0.00,1100.06,3400.54,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10.232,0.00,700.02,2500.29,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10.378,0.00,1000.05,2500.29,300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10.524,100.00,700.02,3000.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10.670,0.00,700.02,2900.39,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10.816,0.00,400.01,3200.48,400.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10.962,0.00,400.01,2800.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11.108,0.00,1700.14,2800.37,200.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
11.254,0.00,700.02,3300.51,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
11.400,0.00,800.03,3300.51,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11.546,0.00,1000.05,3900.71,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
11.692,0.00,1000.05,2400.27,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11.838,0.00,400.01,2700.34,100.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00
11.984,0.00,600.02,3600.61,0.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00
12.130,0.00,600.02,2400.27,100.00,0.00,0.00,0.00,0.00,0.00,400.01,0.00,0.00
12.276,0.00,1000.05,2800.37,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
