D:\Daten\2015\10_Oktober\151019b.B\019.D
Intensity Vs Time,CPS
Time [Sec],Mg25,Al27,P31,Ca43,Sr88,Y89,Ba137,La139,Ce140,Pb208,Th232,U238
0.156,200.00,600.02,1600.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.302,0.00,900.04,1700.14,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
0.448,0.00,1100.06,2600.32,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00
0.594,0.00,700.02,2100.21,0.00,0.00,100.00,0.00,0.00,0.00,200.00,0.00,0.00
0.740,0.00,1300.08,2200.23,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
0.886,0.00,1400.09,2300.25,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.032,0.00,1100.06,2200.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,200.00,0.00
1.178,0.00,400.01,2000.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.325,0.00,800.03,2000.19,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
1.471,0.00,1000.05,3000.42,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.617,0.00,500.01,1600.12,100.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00
1.763,0.00,600.02,2000.19,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
1.909,100.00,1200.07,2800.37,100.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00
2.055,0.00,600.02,2700.34,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00,0.00
2.201,0.00,500.01,1700.14,0.00,0.00,0.00,0.00,11907.00,0.00,100.00,0.00,0.00
2.346,0.00,600.02,1500.11,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.493,0.00,1000.05,2100.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.639,100.00,1400.09,2400.27,0.00,200.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00
2.785,0.00,700.02,1800.15,300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
2.931,0.00,800.03,2700.34,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.077,0.00,1500.11,2600.32,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
3.223,0.00,1100.06,2700.34,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.369,0.00,1400.09,2600.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.515,100.00,1600.12,2600.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.661,100.00,300.00,2100.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.807,100.00,500.01,2400.27,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00
