D:\Daten\2015\10_Oktober\151019b.B\003.D
Intensity Vs Time,CPS
Time [Sec],Mg25,Al27,P31,Ca43,Sr88,Y89,Ba137,La139,Ce140,Pb208,Th232,U238
0.156,100.00,1800.15,2100.21,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.302,0.00,1800.15,2500.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.448,0.00,700.02,1700.14,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.594,0.00,700.02,1800.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.740,0.00,1000.05,2700.34,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.886,100.00,800.03,2600.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.032,0.00,400.01,2400.27,300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.178,0.00,900.04,2200.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.324,0.00,500.01,2200.23,400.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.470,0.00,700.02,3000.42,200.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
1.616,100.00,1100.06,2400.27,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
1.762,0.00,700.02,2700.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.908,0.00,700.02,2600.32,100.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00
2.054,0.00,1000.05,2200.23,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.200,0.00,1000.05,2200.23,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
2.346,0.00,1300.08,3000.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.492,0.00,1000.05,2000.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.638,0.00,700.02,2600.32,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.784,0.00,1600.12,1600.12,200.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00
2.930,0.00,1500.11,3400.54,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.076,0.00,600.02,2400.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.222,100.00,1200.07,2200.23,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.368,0.00,1000.05,2600.32,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.514,0.00,1900.17,2400.27,0.00,100.00,0.00,100.00,0.00,0.00,100.00,0.00,0.00
3.660,0.00,900.04,2800.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
3.806,0.00,400.01,2600.32,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.952,0.00,800.03,3400.54,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.098,0.00,700.02,2200.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
