"ID"	"Mg"	"Al"	"P"	"Ca"	"Sr"	"Y"	"Ba"	"La"	"Ce"	"Pb"	"Th"	"U"
"HLK2_001.csv"	"169.051583966243"	"0.651775418651114"	"556.062209209459"	"400003.81"	"27.7722524218426"	NA	"9.93731329941228"	NA	NA	NA	NA	"0.129482880486513"
"HLK2_002.csv"	"167.923125827613"	"0.61646286540161"	"598.809020841081"	"400003.81"	"27.4160174221904"	NA	"10.1310531253577"	NA	NA	NA	NA	"0.12715304730256"
"HLK2_003.csv"	"159.308973627491"	"0.557961624523411"	"619.884440358102"	"400003.81"	"28.6233254897763"	"0.0555441701881561"	"10.6780761364971"	NA	NA	NA	NA	"0.115205252645761"
"HLK2_004.csv"	"159.163002740418"	"1.66976814974074"	"639.436743601844"	"400003.81"	"28.7187328650585"	"0.112978574090109"	"11.1939029348635"	NA	NA	NA	NA	"0.128682659159326"
"HLK2_005.csv"	"170.105658931948"	"0.695026125374377"	"558.264976167259"	"400003.81"	"28.1022431068129"	NA	"10.1789809355178"	NA	NA	NA	NA	"0.128606763221129"
"HLK2_006.csv"	"174.709610096942"	"0.610940150008155"	"567.625487288612"	"400003.81"	"27.4851203664554"	NA	"10.2535648961102"	NA	NA	"0.0906951188395195"	NA	"0.124097668042028"
"HLK2_007.csv"	"166.064929244941"	"0.705384748599931"	"672.143668086326"	"400003.81"	"28.1816045688454"	"0.0522856593502368"	"11.9110066639511"	NA	NA	"0.0777244624227203"	NA	"0.12752941880397"
"HLK2_008.csv"	"155.943282925946"	"0.541502753387501"	"718.826271967453"	"400003.81"	"30.5760232947032"	"0.725156206857797"	"12.6856724612062"	"0.0312885438873106"	NA	NA	NA	"0.0991630883369617"
"HLK2_009.csv"	"169.817134146916"	NA	"650.173288966755"	"400003.81"	"29.7306372805793"	"0.146874926230644"	"11.9331900803547"	NA	NA	NA	NA	"0.129221718458612"
"HLK2_010.csv"	"199.564744182528"	"0.622139547197697"	"502.557216746664"	"400003.81"	"27.7676260114972"	NA	"10.7420914518329"	NA	NA	NA	NA	"0.139778242473095"
"HLK2_011.csv"	"207.035270568632"	"0.610898281527926"	"506.840075356082"	"400003.81"	"27.4666543601853"	NA	"10.746190533789"	NA	NA	NA	NA	"0.14463088936212"
"HLK2_012.csv"	"200.245491425732"	"3.32214993795544"	"609.9778661154"	"400003.81"	"27.4110675183961"	"0.0546595783931544"	"11.4578340206743"	NA	NA	NA	NA	"0.149311928084972"
"HLK2_013.csv"	"219.357840188815"	"0.849624011860727"	"459.650679221314"	"400003.81"	"28.0113637270102"	NA	"11.2192538028219"	NA	NA	NA	NA	"0.163720794331399"
"HLK2_014.csv"	"204.637938663628"	"0.651677870590376"	"506.085303784745"	"400003.81"	"29.2853724328193"	NA	"11.6952858208635"	NA	NA	NA	NA	"0.152873357259132"
"HLK2_015.csv"	"210.329299727746"	"0.71123398214994"	"514.818675302819"	"400003.81"	"27.6717555076892"	NA	"11.1147711792956"	NA	NA	NA	NA	"0.156768672209943"
"HLK2_016.csv"	"200.534468511376"	"2.77894844558933"	"520.459999811803"	"400003.81"	"28.6358089739545"	NA	"11.497336431954"	NA	NA	NA	NA	"0.149583200528978"
"HLK2_017.csv"	"204.329835063453"	"0.564827955478818"	"533.841496960874"	"400003.81"	"27.3771782323138"	"0.0255665575911162"	"11.9115643577611"	NA	NA	NA	NA	"0.143851073611215"
"HLK2_018.csv"	"203.664819133244"	"0.619274859159547"	"569.45659933888"	"400003.81"	"27.7748102774901"	NA	"12.0133131658432"	NA	NA	NA	NA	"0.14881320974246"
"HLK2_019.csv"	"200.629703459767"	"0.578373302010793"	"577.808528057491"	"400003.81"	"28.2518557151593"	"0.0255251323705613"	"11.7390954921829"	NA	NA	NA	NA	"0.139539812744482"
"HLK2_020.csv"	"206.784649023882"	"0.638412387663855"	"557.79017604208"	"400003.81"	"27.8981871083276"	NA	"11.8432301572306"	NA	NA	NA	NA	"0.147220370178383"
"HLK2_021.csv"	"219.494147659361"	"0.616071951539453"	"474.543952090657"	"400003.81"	"27.7649050165024"	NA	"10.3618180393283"	NA	NA	NA	NA	"0.147064618664782"
"HLK2_022.csv"	"239.095079967589"	"0.543159971552917"	"296.873195973068"	"400003.81"	"27.9079934718457"	NA	"9.4362335253593"	NA	NA	NA	NA	"0.120328019795292"
"HLK2_023.csv"	"240.649776644693"	"0.627917525192667"	"317.675777703194"	"400003.81"	"26.9076818683172"	NA	"9.22891815109779"	NA	NA	NA	NA	"0.122860325572265"
"HLK2_024.csv"	"252.427831313079"	"0.718716118713275"	"398.436997557573"	"400003.81"	"27.0543049014994"	NA	"10.3515572086866"	NA	NA	NA	NA	"0.171733711115961"
"HLK2_025.csv"	"252.957309696168"	"0.639856263514699"	"296.190467509574"	"400003.81"	"27.2270312066853"	NA	"9.00447601855107"	NA	NA	NA	NA	"0.127149647683827"
"HLK2_026.csv"	"249.564011548085"	"0.544242264349719"	"238.495880284797"	"400003.81"	"29.1356025676378"	NA	"9.22036918040054"	NA	NA	NA	NA	"0.121171395827231"
"HLK2_027.csv"	"252.593955168918"	"0.540155826215032"	"239.468191576618"	"400003.81"	"30.1124607377211"	NA	"10.1611283745251"	NA	NA	NA	NA	"0.130706528526501"
"HLK2_028.csv"	"257.87087186293"	"0.581619274145669"	"244.325557480574"	"400003.81"	"28.3163185594156"	NA	"9.17676226955623"	NA	NA	NA	NA	"0.119572175293098"
"HLK2_029.csv"	"230.680968872348"	"0.714085230841623"	"423.401725231245"	"400003.81"	"27.7225499536928"	NA	"9.66806466773021"	NA	NA	NA	NA	"0.146082684322966"
"HLK2_030.csv"	"249.787119644422"	"0.673672206155462"	"388.180083440727"	"400003.81"	"27.4182613518095"	NA	"9.89348948440226"	NA	NA	NA	NA	"0.160937300072785"
"HLK2_031.csv"	"259.224588162391"	"0.71930782940245"	"348.783869928434"	"400003.81"	"27.4039958895052"	NA	"9.94862541311029"	NA	NA	NA	NA	"0.164742388485646"
"HLK2_032.csv"	"273.279180046344"	"0.735936220094814"	"296.191453045119"	"400003.81"	"26.4922678729962"	NA	"9.00311702850887"	NA	NA	NA	NA	"0.145760717514393"
"HLK2_033.csv"	"262.725062630489"	"0.605071311557505"	"314.449719156332"	"400003.81"	"27.5455865992678"	NA	"9.32642338216467"	NA	NA	NA	NA	"0.150216380533648"
"HLK2_034.csv"	"245.519848262773"	"0.627652467639216"	"365.218795403279"	"400003.81"	"27.4098703161182"	NA	"9.0075794673904"	NA	NA	NA	NA	"0.149384053883472"
"HLK2_035.csv"	"259.416923418207"	"0.691180912106775"	"312.887987052997"	"400003.81"	"27.6701664926143"	NA	"9.38881897535283"	NA	NA	NA	NA	"0.160070669184657"
"HLK2_036.csv"	"255.777334865464"	"0.760780478857647"	"351.618720595892"	"400003.81"	"27.5547654118745"	NA	"9.57894369628487"	NA	NA	NA	NA	"0.169721051570654"
"HLK2_037.csv"	"262.741917205273"	"0.685818796321847"	"288.509040384692"	"400003.81"	"27.3494160377604"	NA	"9.21119953559199"	NA	NA	NA	NA	"0.154666353914546"
"HLK2_038.csv"	"265.961922227928"	"0.693333580777281"	"313.33245604812"	"400003.81"	"26.6972249794377"	NA	"9.25072008833721"	NA	NA	NA	NA	"0.169688911740395"
"HLK2_039.csv"	"263.061359259449"	"0.822296222228201"	"374.862410142955"	"400003.81"	"25.8397099654126"	NA	"9.61894728294346"	NA	NA	NA	NA	"0.181420387833277"
"HLK2_040.csv"	"226.206611981201"	"0.954853012595189"	"534.219971815331"	"400003.81"	"26.7857886298248"	NA	"9.8695235974387"	NA	NA	NA	NA	"0.177220905923924"
