"x"
"Mg"	0.51
"Al"	0.43
"P"	0.04
"Ca"	1
"Sr"	2.78
"Y"	2.48
"Ba"	5.5
"La"	5.1
"Ce"	5.91
"Pb"	10.25
"Th"	11.79
"U"	13.45
