D:\Daten\2015\10_Oktober\151019a.B\012.D
Intensity Vs Time,CPS
Time [Sec],Mg25,Al27,P31,Ca43,Sr88,Y89,Ba137,La139,Ce140,Pb208,Th232,U238
0.156,0.00,1100.06,2200.23,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.302,0.00,900.04,3600.61,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00
0.449,100.00,500.01,2400.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.595,0.00,900.04,3100.45,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00
0.741,100.00,1100.06,3100.45,0.00,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.887,0.00,1200.07,3100.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.033,0.00,900.04,3100.45,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
1.179,0.00,1200.07,3900.71,0.00,0.00,0.00,0.00,0.00,0.00,200.00,0.00,0.00
1.325,0.00,1200.07,3000.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.471,100.00,1200.07,2900.39,0.00,0.00,0.00,0.00,0.00,100.00,200.00,0.00,0.00
1.617,0.00,700.02,3200.48,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00
1.763,0.00,1500.11,2500.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.909,0.00,200.00,2900.39,300.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00
2.055,0.00,900.04,4901.13,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2.201,400.01,600.02,3800.68,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.346,0.00,1200.07,3900.71,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2.493,0.00,1000.05,3300.51,0.00,0.00,0.00,0.00,0.00,0.00,200.00,100.00,0.00
2.639,0.00,500.01,3900.71,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00
2.785,0.00,900.04,1900.17,200.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2.931,0.00,800.03,3400.54,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
3.077,0.00,1400.09,3500.57,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.223,0.00,600.02,4200.83,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
